Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnote,Start Date,End Date
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Failure,MORT-30-HF,Death rate for heart failure patients,No Different than the National average,487,12.4,10.2,15.1,,07/01/2021,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack,MORT-30-AMI,Death rate for heart attack patients,No Different than the National average,312,13.2,10.8,16.1,,07/01/2021,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Pneumonia,MORT-30-PN,Death rate for pneumonia patients,No Different than the National average,623,14.8,12.4,17.8,,07/01/2021,06/30/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Healthcare Associated Infections,HAI-1,Central line-associated bloodstream infections (CLABSI),No Different than the National average,156,0.934,0.612,1.387,,01/01/2023,12/31/2023
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Healthcare Associated Infections,HAI-2,Catheter-associated urinary tract infections (CAUTI),No Different than the National average,289,1.024,0.718,1.423,,01/01/2023,12/31/2023
010005,MARSHALL MEDICAL CENTER SOUTH,2505 US HIGHWAY 431 N,BOAZ,AL,35957,MARSHALL,2565938310,Heart Failure,MORT-30-HF,Death rate for heart failure patients,Better than the National average,298,10.2,8.1,12.9,,07/01/2021,06/30/2024
010005,MARSHALL MEDICAL CENTER SOUTH,2505 US HIGHWAY 431 N,BOAZ,AL,35957,MARSHALL,2565938310,Pneumonia,MORT-30-PN,Death rate for pneumonia patients,Better than the National average,445,12.1,9.8,14.9,,07/01/2021,06/30/2024
010005,MARSHALL MEDICAL CENTER SOUTH,2505 US HIGHWAY 431 N,BOAZ,AL,35957,MARSHALL,2565938310,Healthcare Associated Infections,HAI-1,Central line-associated bloodstream infections (CLABSI),Better than the National average,89,0.621,0.312,1.098,,01/01/2023,12/31/2023
010005,MARSHALL MEDICAL CENTER SOUTH,2505 US HIGHWAY 431 N,BOAZ,AL,35957,MARSHALL,2565938310,Healthcare Associated Infections,HAI-5,MRSA Bacteremia,Better than the National average,89,0.534,0.201,0.987,,01/01/2023,12/31/2023
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36462,COVINGTON,3344491186,Heart Failure,MORT-30-HF,Death rate for heart failure patients,Worse than the National average,Too Few to Report,Not Available,Not Available,Not Available,Footnote Applies,07/01/2021,06/30/2024
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36462,COVINGTON,3344491186,Healthcare Associated Infections,HAI-2,Catheter-associated urinary tract infections (CAUTI),Worse than the National average,76,1.834,1.212,2.701,,01/01/2023,12/31/2023
060001,MAYO CLINIC HOSPITAL - ROCHESTER,1216 2ND ST SW,ROCHESTER,MN,55902,OLMSTED,5072842511,Heart Failure,MORT-30-HF,Death rate for heart failure patients,Better than the National average,2341,8.4,7.2,9.8,,07/01/2021,06/30/2024
060001,MAYO CLINIC HOSPITAL - ROCHESTER,1216 2ND ST SW,ROCHESTER,MN,55902,OLMSTED,5072842511,Heart Attack,MORT-30-AMI,Death rate for heart attack patients,Better than the National average,1876,9.1,7.8,10.7,,07/01/2021,06/30/2024
060001,MAYO CLINIC HOSPITAL - ROCHESTER,1216 2ND ST SW,ROCHESTER,MN,55902,OLMSTED,5072842511,Pneumonia,MORT-30-PN,Death rate for pneumonia patients,Better than the National average,1543,10.2,8.9,11.8,,07/01/2021,06/30/2024
060001,MAYO CLINIC HOSPITAL - ROCHESTER,1216 2ND ST SW,ROCHESTER,MN,55902,OLMSTED,5072842511,Healthcare Associated Infections,HAI-1,Central line-associated bloodstream infections (CLABSI),Better than the National average,876,0.423,0.287,0.612,,01/01/2023,12/31/2023
060001,MAYO CLINIC HOSPITAL - ROCHESTER,1216 2ND ST SW,ROCHESTER,MN,55902,OLMSTED,5072842511,Healthcare Associated Infections,HAI-2,Catheter-associated urinary tract infections (CAUTI),Better than the National average,1234,0.534,0.398,0.712,,01/01/2023,12/31/2023
060001,MAYO CLINIC HOSPITAL - ROCHESTER,1216 2ND ST SW,ROCHESTER,MN,55902,OLMSTED,5072842511,Healthcare Associated Infections,HAI-5,MRSA Bacteremia,Better than the National average,543,0.312,0.187,0.523,,01/01/2023,12/31/2023
140010,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,60611,COOK,3122261100,Heart Failure,MORT-30-HF,Death rate for heart failure patients,Better than the National average,1987,9.2,7.9,10.8,,07/01/2021,06/30/2024
140010,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,60611,COOK,3122261100,Heart Attack,MORT-30-AMI,Death rate for heart attack patients,Better than the National average,1456,9.8,8.4,11.4,,07/01/2021,06/30/2024
140010,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,60611,COOK,3122261100,Healthcare Associated Infections,HAI-1,Central line-associated bloodstream infections (CLABSI),Better than the National average,712,0.534,0.356,0.789,,01/01/2023,12/31/2023
330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 E 68TH ST,NEW YORK,NY,10065,NEW YORK,2127465454,Heart Failure,MORT-30-HF,Death rate for heart failure patients,No Different than the National average,3456,11.8,10.4,13.4,,07/01/2021,06/30/2024
